Región,Comuna,Ubicación,Nombre,Horario,¿Qué recibe?,Info adicional,Mapa
RM,,Rafael Prado 419,Colegio Médico de Santiago,8 a 22 hrs.,"Agua, toallas higiénicas, gotas para ojos, artículos de higiene, mascarillas KN95, alimentos no perecibles, alimentos para mascotas.",@colmedsantiago,https://maps.app.goo.gl/dCaWZ9p6HY9RpZnh7
RM,Puente Alto,Manuel Rodríguez 0314,Centro de Acopio RedGeo,Desde el 4 de febrero a las 9 hrs.,"Alimentos no perecibles, alimentos para mascotas, útiles de aseo, barras/bebidas energéticas, agua, suero y gasas.",@redgeochile,https://maps.app.goo.gl/WNjX1XEXn7hqma9T9
RM,,Balmaceda 265,Gimnasio Irene Velásquez - Municipalidad de Puente Alto,Sábado 3 de 12 a 20 hrs. Domingo 4 de 10 a 14 hrs. lunes 5 y martes 6 de 9:00 a 18:00 hrs. ,"Materiales de construcción, artículos de aseo, agua, alimentos para mascotas, alimentos no perecibles.",@mpuentealto,https://maps.app.goo.gl/w2Bfgez22z6Sszqu9
RM,,Luis Barros Borgoño 394,Coordinadora Social Shishigang,Domingo 4 de Febrero a las 12:00 medio día,,,
RM,Providencia,Av. Pocuro 2878,Club Providencia,"Sabado 3: 15-21hrs
Domingo y Lunes: 9-18hrs","Bidones de agua, articulos de aseo, palas, articulos de aseo personal, alimentos no perecibles, alimentos de mascotas",,https://maps.app.goo.gl/RGQ6MhSn1QV3MEDP9
RM,Peñalolén,José Pedro Alessandri 6402,Sodimac Homecenter Nueva La Florida,10 a 20 hrs.,"Útiles de aseo, toallas higiénicas, leche fórmula para bebés, leche líquida en cajas, aguas 2 litros, alimentos no perecibles, sillas de ruedas, vasos, barras de cereal.",,
RM,Pudahuel,Corona Sueca #8325,Estadio Juan Carlos Orellana (EXPO GAMER PUDAHUEL),SÁBADO 3 Y DOMINGO 4 de 13 a 18 hrs.,Alimento para mascotas y agua embotellada,,https://maps.app.goo.gl/qsj3HhPbR4pvPJ758
RM,Quilicura,José Francisco Vergara 450,Frontis Municipalidad Quilicura,Sabado 3: 17-21hrs,"Alimentos no perecibles, articulos de aseo, agua embotellada, comida para mascotas envasada, pañales adulto y niño, leche y formulas, toallas higienicas y absorbentes, frazadas",,https://maps.app.goo.gl/fYbvtHWvH3qWXM6M8
RM,Renca,Av. Dorsal 1365,Instituto Cumbre de Cóndores Oriente,"Sabado 3: 15-19hrs
Domingo, Lunes, Martes y Miercoles: 12-19hrs","Agua envasada, articulos de higiene personal, alimentos no perecibles, alimentos para mascotas",,https://maps.app.goo.gl/ajsnZn8EacAv1fS28
RM ,Recoleta,Av. Recoleta 3005 (entrada vehículos),Estadio de Recoleta,"Sábado hasta las 21:30, Domingo de 10 a 18 hrs. Lunes y martes de 8:30 a 14 hrs.","Agua sin gas, alimentos no perecibles, artículos de aseo, mascarillas KN95, bolsas de basura, guantes de trabajo, palas, escobillones y rastrillos.",,https://maps.app.goo.gl/Jz1HdSFwWTqT4B3bA
RM,Santiago ,Esmeralda 759,Sede Convergencia Social,Sabado 3 12:00-20:00,"Agua, frazadas, kit de aseo, alimento para animales, juguetes y cuentos, alimentos no pereceibles, isotonicas, elementos de trabajo y proteccion a brigadistas",,https://maps.app.goo.gl/zdbLigyBkPDN5bap9
RM,,Av. Alameda Libertador Bernardo O'higgins 340,Campus Casa Central UC,Desde lunes 5 de 8:30 a 18:00 hrs,"Kits de higiene, ropa interior nueva, kit de higiene menstrual, Agua, Colaciones para brigadistas, platos desechables, toallas higiénicas, desodorante y
shampoo.",@feuc2024 @consejeria_superioruc @pastoral_uc,https://maps.app.goo.gl/R6DE95diRRZupTjy8
RM,,Palacio Consistorial Munistgo,Plaza de Armas,Lunes-domingo de 8-18hrs,"aguas y bebidas isotonicas, barras de cereal, alimentos no perecibles, frazadas y colchones, articulos de higiene, pañales y bloqueador solar, mascarillas, guantes de trabajo",,https://maps.app.goo.gl/1Samc3aSC4MmcSpd6
RM,,Periodista José Carrasco Tapia 09,Casa FECH,Domingo 04 a sábado 11 entre 10 y 20 hrs.,"Agua embotellada, bebidas isotónicas, útiles de aseo y pañales, artículos de higiene menstrual, alimentos no perecibles, herramientas de trabajo, bloqueador solar.",NO ropa.,https://maps.app.goo.gl/zF7HUj5VbhJqgmBw7
RM,San Bernardo ,O´Higgins 0370,Muni San Bernardo Estadio Municipal,12 del medio día 3 Feb,"Alimentos no perecibles, agua sin gas, artículos de aseo, mascarillas KN95, alimentos de mascotas, bolsas de basura y guantes de trabajo",,https://maps.app.goo.gl/pszds1BMzJgT9TpZ6
RM,San Miguel,"Salida Espacio Urbano, Ciudad del Niño",Radio San Miguel,Lunes y martes 18:30 a 20:30 hrs,"Pañales, agua, productos femeninos, útiles de aseo.",Apoyo a mujeres de Valparaíso.,https://maps.app.goo.gl/JPypX3kRHELsNASz5
RM ,Vitacura,,Feria Costumbrista Media Luna,,Artículos de aseo y agua embotellada,Hasta el domingo 4,
RM,,"Centro Cívico, Av Bicentenario 3800",Centro Cívico de Vitacura,"Sabado 3 y Domingo 4, de 11 a 18 hrs. Lunes 5 a viernes 9 de 9 a 18 hrs.","Útiles de aseo, agua, alimentos no perecibles, elementos de protección (bloqueador, guantes, lentes de protección)",,https://maps.app.goo.gl/HDY2SyJfw2wra9hVA
O'Higgins,San Fernando,Chacabuco 420,,Hasta 13:30hrs,"Alimento perros y gatos, ropa en buen estado +6meses, gasas, alcohol, vendas, sueros",,
O'Higgins,Navidad,Gimnasio Municipal de Navidad,,,"Agua, bebidas isotónicas, pañales de niños, útiles de aseo",,https://maps.app.goo.gl/1e3w1SzdjinMGDpc9
